Instructor,User_vote,Total_hours,Lecture,Level,Rating
Rahul Shetty,10991,19.0,109,All Levels,4.5
Rob Percival  Codestars by Rob Percival,10787,30.0,222,All Levels,4.4
Joseph Delgadillo  Nick Germaine,10719,17.0,126,All Levels,4.3
Denis Panjuta  Tutorials eu by Denis Panjuta,10705,34.0,261,All Levels,4.6
Brewster Knowlton,10655,4.0,39,Beginner,4.5
Andrew Mead,10466,29.5,155,All Levels,4.7
Imtiaz Ahmad,10325,17.5,60,All Levels,4.5
Rahul Shetty,10274,30.0,181,All Levels,4.5
Febin George,10263,3.5,35,Beginner,4.4
Sundog Education by Frank Kane  Frank Kane,9821,7.0,63,All Levels,4.5
Christopher Murphy  Epic Games,9822,15.5,85,Beginner,4.4
Mumshad Mannambeth  KodeKloud Training  Vijin Palazhi,9744,10.0,134,All Levels,4.7
John Honai,9734,1.0,12,Beginner,4.5
Stephen Grider,9629,21.0,239,Intermediate,4.6
Academind by Maximilian Schwarzm ller  Maximilian Schwarzm ller,9495,8.0,142,All Levels,4.7
Edwin Diaz  Coding Faculty Solutions,9366,43.0,407,All Levels,4.4
Mark Wahlbeck  Devslopes by Mark Wahlbeck,9348,31.5,168,Beginner,4.5
Mosh Hamedani,9360,15.0,224,Intermediate,4.7
Stephen Grider,9229,6.0,68,Beginner,4.6
Lazy Programmer Inc ,9098,10.0,76,All Levels,4.5
Tim Buchalka  Jean Paul Roberts  Tim Buchalka s Learn Programming Academy,8988,60.5,323,All Levels,4.3
Mosh Hamedani,8956,7.5,117,All Levels,4.3
Jose Portilla,8951,17.0,228,Intermediate,4.5
Jason Taylor,8937,1.5,32,Beginner,4.3
Ardit Sulce  PythonHow,8859,4.5,83,Beginner,4.5
Mosh Hamedani,8802,6.5,79,Intermediate,4.6
Tim Short,8756,3.5,39,All Levels,4.3
David Valentine,8661,5.5,62,Beginner,4.3
Academind by Maximilian Schwarzm ller  Maximilian Schwarzm ller,8632,16.0,208,All Levels,4.7
Edward Viaene,8555,11.0,116,Beginner,4.3
CodeIn Academy,8487,3.0,24,Beginner,4.1
Colt Steele  Elie Schoppik  Tim Garcia  Matt Lane,8454,34.0,391,Intermediate,4.4
Lets Kode It,8347,43.5,289,All Levels,4.6
Jonathan Rasmusson,8297,3.0,34,All Levels,4.4
Arkadiusz W odarczyk,8203,16.5,85,All Levels,4.5
Tim Buchalka s Learn Programming Academy  Jon Avis   SQL Instructor,8191,8.0,122,Beginner,4.4
Lazy Programmer Team  Lazy Programmer Inc ,8166,13.0,108,Intermediate,4.6
Abdul Bari,8177,30.5,279,All Levels,4.6
Tim Buchalka  Goran Lochert  Tim Buchalka s Learn Programming Academy,8147,16.0,116,Intermediate,4.4
Dan LeFebvre,8136,6.5,59,All Levels,4.4
Ben Tristem  Rick Davidson  Sam Pattuzzi  GameDev tv Team,8080,27.5,189,Intermediate,4.7
Mosh Hamedani,7858,6.5,105,Beginner,4.5
Ivan Louren o Gomes,7848,5.5,45,Beginner,4.4
Kirill Eremenko  SuperDataScience Team,7794,6.0,42,All Levels,4.5
Evan Kimbrell,7657,6.5,87,Beginner,4.6
Chad Darby,7625,9.0,117,All Levels,4.7
Eduonix Learning Solutions  Eduonix Tech  ,7558,4.5,33,All Levels,4.0
TetraNoodle Team  Manuj Aggarwal,7509,3.5,30,All Levels,4.2
Stephen Grider,7447,13.5,115,Intermediate,4.5
Binary Brain,7458,1.0,23,All Levels,4.3
Febin George,7289,2.5,25,Beginner,4.5
Rahul Shetty,7185,10.0,62,All Levels,4.4
Andrei Neagoie,7204,25.0,225,All Levels,4.8
William Fiset,7148,8.5,48,All Levels,4.4
Philipp Muellauer,7143,21.0,289,All Levels,4.4
Justin Mitchel,7135,9.5,45,All Levels,4.5
Lazy Programmer Inc ,7110,11.0,89,Intermediate,4.6
in28Minutes Official,7119,9.5,109,All Levels,4.4
Ben Brumm,6985,1.5,32,All Levels,4.3
Jose Portilla,6982,11.5,80,Intermediate,4.6
Hussein Alrubaye,6951,33.5,205,All Levels,4.3
Ricardo Andre Gonzalez Gomez,6714,10.5,165,All Levels,4.4
Dmitri Nesteruk,6652,19.0,168,Intermediate,4.5
Stephane Maarek   AWS Certified Solutions Architect   Developer Associate,6640,3.5,70,All Levels,4.7
Daniel Cioc rlan,6619,15.5,50,Intermediate,4.6
Kirill Eremenko  SuperDataScience Team,6605,6.0,53,Intermediate,4.7
Bryson Payne,6578,7.5,112,All Levels,4.5
Jason Taylor,6561,6.5,151,All Levels,4.4
Brad Hussey  Code College,6437,8.0,77,Beginner,4.6
Brad Schiff,6406,15.0,71,Beginner,4.7
Lazy Programmer Team  Lazy Programmer Inc ,6322,12.0,95,Expert,4.6
Brad Traversy,6328,14.0,91,All Levels,4.7
Jason Cannon,6304,6.0,48,All Levels,4.4
Edwin Diaz  Coding Faculty Solutions,6214,3.5,30,All Levels,4.5
Ken Krueger,6181,4.5,30,Intermediate,4.4
Jason Cannon,6162,2.5,34,All Levels,4.5
Intertech Training  Jeff Jensen,6140,12.0,165,All Levels,4.5
Colt Steele  Stephen Grider,6144,52.0,483,All Levels,4.7
Stephen Grider,6104,13.5,129,All Levels,4.5
Andrei Neagoie  Daniel Bourke,6103,43.0,372,All Levels,4.6
Rahul Shetty,6034,10.5,76,All Levels,4.4
Brad Traversy,6001,11.5,73,All Levels,4.5
Bryan Lamb,5996,6.5,76,Beginner,4.5
Andrei Neagoie,5952,36.5,422,Intermediate,4.7
Academind by Maximilian Schwarzm ller  Maximilian Schwarzm ller,5926,11.5,140,All Levels,4.6
Ashutosh Pawar,5926,33.5,344,All Levels,4.4
Jonas Schmedtmann,5896,42.0,228,All Levels,4.7
Loony Corn,5775,28.0,226,All Levels,4.2
The Net Ninja  Shaun Pelling ,5745,19.0,173,All Levels,4.8
Mark Wahlbeck  Devslopes by Mark Wahlbeck,5683,51.0,177,All Levels,4.3
Valentin Despa  Valentin Despa  Support ,5688,14.0,138,All Levels,4.5
Stephen Grider,5658,24.5,278,All Levels,4.7
David Nixon,5634,10.0,79,All Levels,4.4
Imtiaz Ahmad,5626,6.0,26,All Levels,4.5
Todd McLeod,5612,19.0,171,Intermediate,4.6
Stephen Grider,5598,16.0,166,Intermediate,4.7
David Bombal  Experts with David Bombal,5583,13.0,171,Beginner,4.7
Jose Portilla,5526,14.0,92,Intermediate,4.6
Jose Portilla,5500,9.5,69,Intermediate,4.6
Sid Inf,5453,35.0,289,All Levels,4.4
Development Island  UK ,5451,99.5,505,All Levels,4.4
Hadelin de Ponteves  Kirill Eremenko  SuperDataScience Team,5450,11.0,85,All Levels,4.4
Stephen Grider,5439,17.5,152,All Levels,4.5
Lets Kode It,5439,8.0,52,All Levels,4.4
Fred Baptiste,5397,44.5,158,Intermediate,4.8
Oracle Master Training   80 000  Students Worldwide  Code Star Academy,5379,23.0,151,All Levels,4.5
Tom Looman  Epic Games,5369,17.5,147,All Levels,4.5
Edward Viaene,5348,4.5,52,All Levels,4.3
Rahul Shetty,5335,18.5,127,All Levels,4.5
in28Minutes Official,5349,11.0,124,All Levels,4.5
Asim Hussain,5291,6.5,47,Intermediate,4.6
Jose Portilla,5270,20.0,127,All Levels,4.7
Abdul Wali,5157,7.5,61,All Levels,4.2
YouAccel Training,5140,20.5,367,All Levels,4.3
Rob Merrill,5134,38.5,388,Beginner,4.5
Khaled Alkhudari,5134,20.0,183,All Levels,4.5
Nick Walter,5115,10.0,78,Beginner,4.6
Mark Wahlbeck  Devslopes by Mark Wahlbeck,5101,35.5,116,Beginner,4.4
Navin Reddy,5115,11.0,78,Beginner,4.5
Ermin Kreponic  Suppoman  ,5083,8.0,73,All Levels,3.9
Stephen Grider,5113,54.0,616,All Levels,4.8
Tim Buchalka  Tim Buchalka s Learn Programming Academy  Goran Lochert,5062,45.5,273,All Levels,4.5
Lets Kode It,5026,31.0,223,All Levels,4.5
Applause Interactive,4951,8.0,34,Beginner,4.6
Robin Slee   Art   Illustration   iPad   Software Development,4924,1.5,16,All Levels,4.2
Leon Petrou,4933,11.0,142,All Levels,4.5
Academind by Maximilian Schwarzm ller  Maximilian Schwarzm ller,4913,6.5,106,Intermediate,4.7
Stephen Grider,4900,5.5,56,All Levels,4.4
Kalob Taulien,4851,67.0,695,All Levels,4.7
Mosh Hamedani,4815,6.0,86,All Levels,4.6
Karthik KK,4810,6.5,50,All Levels,4.2
Yassin Marco,4757,5.0,29,Beginner,4.2
Dmitri Nesteruk,4766,10.5,123,Intermediate,4.3
Imtiaz Ahmad,4736,11.5,45,All Levels,4.6
Hossein Tootoonchy,4735,15.0,122,All Levels,4.3
Colt Steele,4677,39.0,312,Beginner,4.7
Stephen Grider,4641,16.5,151,Intermediate,4.2
Jose Salvatierra  Teclado by Jose Salvatierra,4636,27.5,281,Intermediate,4.5
Lazy Programmer Inc ,4601,6.5,54,All Levels,4.5
Maximilian Schwarzm ller,4583,6.0,115,Intermediate,4.7
Codingdojo  Inc ,4581,1.5,25,Beginner,4.3
Rob Percival  Jose Salvatierra  Codestars by Rob Percival  Teclado by Jose Salvatierra,4543,22.0,186,Beginner,4.5
Mark Wahlbeck  Devslopes by Mark Wahlbeck,4516,43.5,187,Beginner,3.9
Eduonix Learning Solutions  Eduonix Tech  ,4515,4.5,25,All Levels,4.5
Lazy Programmer Inc   Lazy Programmer Team,4528,21.0,129,All Levels,4.6
Jose Portilla,4511,10.0,80,All Levels,4.4
Mosh Hamedani,4451,10.5,162,Intermediate,4.0
David Joseph Katz,4441,11.0,125,All Levels,4.4
Ariel Weinberger,4442,8.5,132,All Levels,4.7
Maximilian Schwarzm ller,4434,7.5,128,All Levels,4.5
Sujith George,4422,2.0,27,Beginner,4.5
Dan Vega,4410,11.0,90,All Levels,4.2
John Purcell,4330,28.0,175,Expert,3.5
Valentin Despa  Valentin Despa  Support ,4309,1.5,26,All Levels,4.4
Valentin Despa  Valentin Despa  Support ,4308,5.0,79,Intermediate,4.6
Mihai Catalin Teodosiu  EpicPython Academy,4280,16.0,271,Beginner,4.6
Imtiaz Ahmad,4276,5.5,39,All Levels,4.6
Tim Short,4267,6.5,70,Beginner,4.2
Imtiaz Ahmad,4207,2.0,10,Beginner,4.3
in28Minutes Official,4215,13.0,156,All Levels,4.5
Lazy Programmer Inc ,4202,10.5,78,All Levels,4.5
David Joseph Katz,4197,2.0,43,All Levels,4.2
Brad Traversy,4199,11.0,70,Intermediate,4.6
Jose Portilla,4189,15.5,95,Intermediate,4.6
Awesome Tuts,4149,35.5,253,All Levels,4.1
The Net Ninja  Shaun Pelling ,4106,30.0,297,All Levels,4.8
Brad Traversy,4095,16.0,121,All Levels,4.8
Rob Percival  Nick Walter  Codestars by Rob Percival,4088,36.5,250,All Levels,4.7
Tim Buchalka  Jean Paul Roberts  Tim Buchalka s Learn Programming Academy  David Reidy,4052,62.0,382,Beginner,4.4
Andrew Mead,4058,23.5,118,Beginner,4.6
Eduonix Learning Solutions  Eduonix Tech  ,4034,6.5,32,All Levels,3.9
Lazy Programmer Team  Lazy Programmer Inc ,4023,8.0,56,Beginner,4.7
Oracle Master Training   80 000  Students Worldwide  Code Star Academy,4030,24.5,196,All Levels,4.4
Joe Parys  Ashutosh Pawar  Joe Parys Support,4017,17.5,144,All Levels,3.0
Michael Pogrebinsky,4023,4.0,32,All Levels,4.6
Paulo Dichone   Android  Java  Flutter Developer and Teacher,4004,26.0,226,All Levels,4.5
Jose Portilla,3998,19.0,116,All Levels,4.7
Kirill Eremenko  Ilya Eremenko  SuperDataScience Team,3933,12.5,104,All Levels,4.4
Paul Hill  Robert Hill,3877,7.0,72,All Levels,4.4
Karthik Nandula,3874,2.0,28,Beginner,4.4
Boris Paskhaver,3878,31.5,261,Beginner,4.7
Tarek Roshdy,3868,14.0,175,Beginner,4.6
Vijay Shinde,3847,26.0,17,All Levels,3.9
Kameswara Sarma Uppuluri,3839,10.5,98,All Levels,4.4
in28Minutes Official,3832,13.5,127,All Levels,4.4
Rahul Shetty,3827,21.5,135,All Levels,4.5
Stephen Grider,3811,31.0,401,All Levels,4.6
Morteza Kordi,3801,173.5,693,All Levels,4.4
Joe Parys  Shahzaib Kamal  Joe Parys Support,3798,51.0,316,All Levels,4.1
Deepika Khanna,3790,14.0,111,All Levels,4.5
Ben Tristem  GameDev tv Team  Sam Pattuzzi,3791,10.5,71,Beginner,4.7
Brewster Knowlton,3800,5.5,81,All Levels,4.5
IT Room,3764,6.5,111,Beginner,4.1
Hadelin de Ponteves  Kirill Eremenko  SuperDataScience Team  Zillion Hand Team,3752,12.0,96,All Levels,4.3
YouAccel Training,3723,5.5,113,Beginner,4.1
Richard Chesterwood  Virtual Pair Programmers  Prageeth Warnak,3699,25.5,156,All Levels,4.7
Jose Portilla,3704,5.0,53,All Levels,4.6
Lazy Programmer Team  Lazy Programmer Inc ,3674,10.5,79,Expert,4.7
Rahul Shetty,3677,10.5,62,All Levels,4.5
Academind by Maximilian Schwarzm ller  Maximilian Schwarzm ller,3670,17.5,230,All Levels,4.6
Grant Klimaytys,3648,1.5,14,Beginner,4.1
Learn Tech Plus,3625,62.5,791,All Levels,4.2
Srinivas Vanamala,3611,49.0,309,Beginner,4.6
Lazy Programmer Inc ,3565,15.0,119,Intermediate,4.6
Ben Tristem  Yann Burrett,3560,20.5,113,Beginner,4.6
Huw Collingbourne,3549,8.0,76,All Levels,4.3
Brad Traversy,3542,6.5,44,Intermediate,4.6
Andrew Eddy,3536,5.5,58,Beginner,4.5
Sergey Kargopolov,3535,18.5,244,All Levels,4.5
Mosh Hamedani,3510,2.0,29,Intermediate,4.3
Academind by Maximilian Schwarzm ller  Maximilian Schwarzm ller  Manuel Lorenz,3495,19.0,206,All Levels,4.7
Academind by Maximilian Schwarzm ller  Maximilian Schwarzm ller,3456,6.5,119,All Levels,4.5
Mark Winterbottom  Brooke Rutherford,3458,8.0,77,Intermediate,4.5
Ermin Kreponic,3432,14.0,76,Beginner,4.3
Tim Buchalka s Learn Programming Academy  Goran Lochert,3433,20.0,134,All Levels,4.3
Joseph Delgadillo,3404,17.5,78,All Levels,4.1
Darrel Wilson,3376,1.5,13,Beginner,4.3
Infinite Skills,3366,12.5,148,All Levels,4.5
Eduonix Learning Solutions  Eduonix Tech  ,3356,9.5,39,All Levels,3.9
Lazy Programmer Inc ,3350,11.5,72,All Levels,4.6
LevelUp360  DevOps,3351,57.0,355,All Levels,4.3
Irfan Dayan,3325,8.0,75,All Levels,4.2
Rajeev D  Ratan,3318,11.0,116,All Levels,4.3
YK Sugi,3311,2.0,35,Intermediate,4.6
Mark Farragher,3307,8.0,67,All Levels,4.3
Mark Winterbottom  Brooke Rutherford,3242,5.0,76,Beginner,4.5
Jonathan Weinberger  Unity Technologies,3230,13.0,169,Intermediate,4.3
Mosh Hamedani,3220,3.5,20,All Levels,4.5
James Doyle,3215,18.0,117,All Levels,4.6
Tim Buchalka s Learn Programming Academy  Eduardo Rosas,3215,29.5,206,Beginner,4.3
Dan Wahlin,3203,10.0,113,All Levels,4.5
Jitesh Khurkhuriya  Python  Data Science   Machine Learning A Z Team,3205,11.0,91,All Levels,4.4
Dmitri Nesteruk,3201,12.5,130,Intermediate,4.4
Maven Analytics  John Pauler,3202,4.5,103,All Levels,4.7
Brad Schiff,3181,27.5,123,All Levels,4.8
Jason Cannon,3163,7.0,49,All Levels,4.7
Sebastien Arbogast  Said Eloudrhiri,3161,18.0,95,All Levels,4.5
Cher Hin Chong,3156,2.0,20,Beginner,4.8
GameDev tv Team  Rick Davidson  Grant Abbitt,3167,17.0,116,Beginner,4.7
Caleb Curry,3145,8.5,52,All Levels,3.9
Edwin Diaz  Coding Faculty Solutions,3136,18.5,224,All Levels,4.5
Victor Bastos,3128,26.5,191,All Levels,4.5
Lazy Programmer Inc ,3128,6.5,59,All Levels,4.8
Mark Miller,3125,8.5,57,Intermediate,4.5
Joseph Delgadillo  Nick Germaine,3140,24.5,96,All Levels,4.3
Ravinder Deol  Thomas Wiesner  Buidl School  Martin S,3136,13.0,141,All Levels,4.4
Intellezy Trainers,3116,1.5,20,Beginner,4.5
Chad Darby  Harinath Kuntamukkala,3127,19.5,249,Intermediate,4.7
Rahul Shetty,3102,14.5,84,All Levels,4.5
Rupal S,3055,6.5,43,All Levels,4.5
Raphael Asghar,3055,10.0,59,Beginner,4.5
Robin Haney,3029,3.0,56,Beginner,4.2
365 Careers  Giles McMullen Klein,3028,13.0,173,All Levels,4.7
Jose Salvatierra  Teclado by Jose Salvatierra,3021,13.5,141,Intermediate,4.5
Stephen Grider,3018,8.0,94,Intermediate,4.9
Codestars by Rob Percival  Anthony NG  Rob Percival,3013,17.5,111,All Levels,4.2
Lazy Programmer Inc ,3001,11.5,70,All Levels,4.6
Lazy Programmer Inc ,2996,8.5,65,All Levels,4.6
Rayan Slim  Amer Sharaf  Jad Slim  Sarmad Tanveer,2994,18.0,170,All Levels,4.5
Irfan Dayan,2987,8.5,95,Intermediate,4.6
Boris Paskhaver,2951,58.0,408,All Levels,4.7
Dr  Ryan Ahmed  Ph D   MBA  Mitchell Bouchard  Stemplicity School Online,2951,4.5,41,All Levels,4.4
Hussein Alrubaye,2944,22.0,150,All Levels,4.1
Ruben Giuliani,2940,29.5,73,All Levels,4.2
Brad Traversy,2938,12.0,76,Intermediate,4.8
Nick H,2944,7.5,111,Beginner,4.6
Tim Buchalka s Learn Programming Academy  Mike X Cohen,2934,38.0,169,All Levels,4.6
David Joseph Katz,2927,5.0,106,All Levels,4.3
Robin Beck,2916,10.0,90,All Levels,4.4
Adam Janes,2916,6.5,95,Intermediate,4.4
Kurt Anderson,2909,11.0,94,Beginner,4.5
Sundog Education by Frank Kane  Frank Kane,2882,6.5,38,All Levels,4.5
Jason Taylor,2869,9.0,111,All Levels,4.5
YouAccel Training,2866,6.5,124,Beginner,4.3
Lazy Programmer Team  Lazy Programmer Inc ,2836,9.0,63,All Levels,4.6
Dr  Ryan Ahmed  Ph D   MBA  SuperDataScience Team  Mitchell Bouchard,2832,23.0,132,All Levels,4.6
Justin Mitchel,2833,33.0,223,All Levels,4.2
Neil Cummings,2822,37.5,337,All Levels,4.6
Creative Online School,2816,11.5,149,All Levels,4.3
365 Careers  365 Simona  The 365 Team ,2817,6.5,126,All Levels,4.6
Mosh Hamedani,2803,4.0,64,Intermediate,4.7
Jordan Hudgens,2789,43.0,246,All Levels,4.7
Stephane Maarek   AWS Certified Solutions Architect   Developer Associate,2788,4.5,55,Intermediate,4.5
Dan Vega,2780,13.5,129,All Levels,4.5
Philipp Muellauer  Dr  Angela Yu,2781,41.5,207,All Levels,4.6
Edward Viaene,2768,4.5,74,All Levels,4.1
Vinoth Parthasarathy,2770,7.5,87,All Levels,4.7
Jana Bergant,2762,9.5,119,All Levels,4.2
Deshraj Singh Kiran,2759,8.0,68,All Levels,4.3
Insculpt Technologies,2740,5.0,72,All Levels,4.4
Stephen Grider,2738,8.0,77,Beginner,4.6
Stephane Maarek   AWS Certified Solutions Architect   Developer Associate,2727,2.0,23,Beginner,4.4
Angular University,2729,4.5,46,All Levels,4.6
Binary Brain,2733,1.5,21,All Levels,4.2
Ajay Tech,2712,14.0,105,Beginner,4.2
in28Minutes Official,2712,4.0,55,All Levels,4.5
Data Weekends  Jose Portilla  Francesco Mosconi,2704,10.0,148,Intermediate,4.3
Infinite Skills,2687,5.0,55,Intermediate,4.4
Francesco Santi,2675,5.5,75,All Levels,4.5
Brad Traversy,2662,15.0,91,All Levels,4.8
Riyaz Sayyad   AWS Certified Database Specialist  RIZMAXed by Riyaz Sayyad,2661,25.5,301,All Levels,4.5
Packt Publishing,2659,5.0,69,Beginner,4.4
Dmitry Shyshkin,2663,6.5,42,Beginner,4.5
Zac Gordon,2663,16.0,176,All Levels,4.5
Umar Lone,2655,18.5,219,All Levels,4.4
Raghavendra Dixit,2622,5.0,103,All Levels,4.0
StudyEasy Organisation  Chaand Sheikh,2599,13.0,144,Intermediate,4.2
Sergey Kargopolov,2603,23.0,270,Beginner,4.5
Tao W   James Lee  Level Up,2596,3.5,60,All Levels,4.4
StudyEasy Organisation  Chaand Sheikh,2600,64.5,611,All Levels,4.4
Raghav Pal,2575,2.5,25,All Levels,4.3
Hussein Alrubaye,2576,15.0,99,All Levels,4.1
Jose Portilla,2566,10.5,108,All Levels,4.6
Dinesh Tavasalkar,2560,18.5,163,All Levels,4.5
Peter Sommerhoff,2542,6.5,66,Beginner,4.4
Cory Althoff,2541,6.0,79,Beginner,4.6
Abrar Hussain,2528,1.5,27,Beginner,4.0
Mosh Hamedani,2521,2.5,33,All Levels,4.5
Ray Viljoen,2514,8.0,61,All Levels,4.7
Angular University,2517,6.5,52,All Levels,4.6
Nick Walter,2532,8.5,78,Beginner,4.7
Hussein Alrubaye,2498,9.5,92,Beginner,3.7
Joe Parys  Peter Sommerhoff  Joe Parys Support,2495,4.0,41,All Levels,4.4
Joe Parys  Peter Sommerhoff  Joe Parys Support,2496,6.0,51,All Levels,4.4
James Doyle,2491,13.0,84,Beginner,4.7
Devslopes by Mark Wahlbeck,2488,23.0,101,Beginner,4.3
Lazy Programmer Inc ,2487,10.5,87,All Levels,4.6
Bharath Thippireddy,2487,21.0,418,All Levels,4.5
Denis Panjuta  Tutorials eu by Denis Panjuta,2489,45.5,290,All Levels,4.5
Frahaan Hussain,2480,6.0,97,All Levels,3.4
Penny de Byl  Penny  Holistic3D com,2470,10.5,77,Intermediate,4.7
Louis Sayers,2453,4.5,76,Beginner,4.6
Reece Kenney,2444,16.5,179,All Levels,4.5
Eduonix Learning Solutions  Eduonix Tech    Samy Eduonix,2430,33.0,208,Beginner,4.4
Soledad Galli  Christopher Samiullah,2428,9.0,145,Intermediate,4.5
Brett Hargreaves,2404,15.5,92,All Levels,4.2
Dmitri Nesteruk,2390,8.5,61,All Levels,4.3
Scott Duffy    460 000  Students  Software Architect ca,2386,2.5,31,All Levels,4.5
Karoly Nyisztor   Professional Software Architect,2396,2.0,40,Beginner,4.3
Tod Vachev,2365,5.0,57,All Levels,4.4
Academind by Maximilian Schwarzm ller  Maximilian Schwarzm ller,2355,23.5,259,All Levels,4.7
Maximilian Schwarzm ller  Academind by Maximilian Schwarzm ller,2357,8.0,144,Beginner,4.6
GoTrained Academy  Lazar Telebak,2354,11.0,86,All Levels,4.5
John Thompson,2360,10.0,104,Intermediate,4.2
Luke Angel,2352,5.5,82,Beginner,3.4
Arkadiusz W odarczyk,2349,11.0,84,All Levels,4.3
T World,2341,41.0,368,All Levels,4.5
Dilip S,2345,11.0,104,All Levels,4.4
in28Minutes Official,2344,12.0,135,Beginner,4.5
Colt Steele,2334,11.5,87,Beginner,4.7
Stephen Grider,2323,17.5,185,Beginner,4.6
Eduonix Learning Solutions  Eduonix Tech    Eduonix Support,2318,1.5,11,Intermediate,4.4
David Joseph Katz,2315,6.5,71,Intermediate,4.4
in28Minutes Official,2306,11.5,139,Beginner,4.4
Chandra Lingam,2308,15.0,207,All Levels,4.5
Viktor Pyskunov,2305,4.5,63,All Levels,4.6
Luke Angel,2298,1.0,26,All Levels,3.8
Tim Buchalka s Learn Programming Academy  Eduardo Rosas,2296,20.5,132,All Levels,4.4
